,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
,,,,,,1200,0.2106768,0.2093854,0.1809118,0.1602222,0.2388038,-0.04330864,-0.03089,0.07784578,-0.04386754,0.04022508,0.4476396
,,,,,,1300,0.2036034,0.2110634,0.1876754,0.1583556,0.2393026,-0.009947274,-0.0471,0.04791336,-0.02928954,0.03842082,0.4819398
30,0.3,0.2,0.2,0.1,0.2,1000,0.3281524,0.2071294,0.16413,0.1135068,0.1870816,-0.112985,-0.0246,0.1483494,-0.05878082,0.04801254,0.4056018
,,,,,,1100,0.3180634,0.2083488,0.1773948,0.108866,0.1873274,-0.05910018,-0.02822,0.07606784,-0.03143442,0.04268258,0.4230158
,,,,,,1200,0.3146392,0.2094106,0.1800708,0.1078688,0.1880106,-0.05673472,-0.03621,0.0829805,-0.032261098,0.04222536,0.4269304
,,,,,,1300,0.3074804,0.2124258,0.1866388,0.1040826,0.1893728,-0.02243588,-0.04772,0.04677,-0.01477138,0.03816214,0.4360638
31,0.2,0.3,0.2,0.1,0.2,1000,0.212608,0.311491,0.1779406,0.1083088,0.1896518,-0.03752444,-0.04564,0.07537482,-0.0289435,0.03673262,0.4017148
,,,,,,1100,0.2073462,0.3103996,0.1870892,0.1060012,0.1891638,-0.02593792,-0.03503,0.04866126,-0.0195597,0.03186886,0.3704106
,,,,,,1200,0.2064318,0.3111752,0.1870448,0.1043166,0.1910316,-0.01965598,-0.03743,0.03907794,-0.012398116,0.030401466,0.3970454
,,,,,,1300,0.2035438,0.3106418,0.1906826,0.1046822,0.1904494,-0.000178896,-0.03685,0.021644376,-0.015912534,0.03129706,0.3769322
32,0.2,0.2,0.3,0.1,0.2,1000,0.225571,0.2110696,0.2582246,0.1186902,0.1864448,-0.1208728,-0.0411,0.1926436,-0.08380982,0.05313616,0.4149778
,,,,,,1100,0.2213838,0.2108524,0.2654958,0.1150174,0.1872506,-0.06438276,-0.03845,0.10734742,-0.05081082,0.04629378,0.4298006
,,,,,,1200,0.2067934,0.2105154,0.2881628,0.1060422,0.188486,-0.0370504,-0.04435,0.0684447,-0.0304117,0.04336966,0.4607138
,,,,,,1300,0.2080688,0.2125768,0.2832178,0.107742,0.1883942,-0.05309876,-0.04245,0.08926788,-0.03798318,0.04425996,0.4240296
33,0.2,0.2,0.2,0.1,0.3,1000,0.212503,0.2091664,0.175009,0.1123002,0.2910212,-0.05710794,-0.02971,0.10729406,-0.05087572,0.0303952,0.403924
,,,,,,1100,0.2110182,0.210597,0.180933,0.1093728,0.2880792,-0.05069944,-0.03494,0.0864841,-0.04376156,0.04291386,0.4270832
,,,,,,1200,0.2062006,0.2098256,0.1869656,0.1075606,0.289448,-0.03120526,-0.02899,0.05008568,-0.03359344,0.04369874,0.4354596
,,,,,,1300,0.2033338,0.2131124,0.189683,0.1053604,0.2885106,-0.00451741,-0.04665,0.031981319,-0.01640141,0.03559006,0.4317038
34,0.25,0.2,0.2,0.2,0.15,1000,0.2832928,0.2047674,0.1492464,0.2327652,0.129929,-0.1453386,-0.01601,0.2206622,-0.1397768,0.08046776,0.4522148
,,,,,,1100,0.2685328,0.2071154,0.1698372,0.2188602,0.135655,-0.05551786,-0.02466,0.08958818,-0.05661718,0.04720664,0.401021
,,,,,,1200,0.2628944,0.2087952,0.1778608,0.2151068,0.1353432,-0.030615982,-0.04104,0.0695925,-0.05103892,0.0531053,0.4056712
,,,,,,1300,0.2604744,0.2079678,0.1814808,0.2132788,0.1367982,-0.0416375,-0.03218,0.07888732,-0.04895256,0.04388122,0.4268484
35,0.2,0.25,0.2,0.2,0.15,1000,0.2230918,0.2596746,0.1568294,0.2288332,0.1315712,-0.10069598,-0.03684,0.186012,-0.1207914,0.07231776,0.4387886
,,,,,,1100,0.2186878,0.258112,0.1671384,0.2210558,0.1350066,-0.07690138,-0.03316,0.1421762,-0.08962246,0.0575064,0.40864
,,,,,,1200,0.210151,0.2591482,0.1829918,0.21097,0.136739,-0.04938884,-0.03509,0.08694618,-0.05751396,0.05504266,0.4626682
,,,,,,1300,0.2054324,0.2599392,0.1899744,0.2044114,0.1402428,-0.02026584,-0.03622,0.03839524,-0.020908302,0.0390036,0.4198886
36,0.2,0.2,0.25,0.2,0.15,1000,0.2381548,0.209088,0.1779246,0.2446742,0.1301582,-0.1499284,-0.03035,0.2864462,-0.1822384,0.07607348,0.4314384
,,,,,,1100,0.2259098,0.2102988,0.2003188,0.2307992,0.1326734,-0.11285674,-0.03963,0.2134292,-0.1329056,0.07195916,0.4370416
,,,,,,1200,0.2194932,0.2087922,0.2144342,0.2220588,0.1352214,-0.08572246,-0.03168,0.153488,-0.0956807,0.05959198,0.4303004
,,,,,,1300,0.2141146,0.2103488,0.2245688,0.2152654,0.1357028,-0.0563117,-0.04346,0.11414084,-0.06678164,0.05241144,0.4602024
37,0.2,0.2,0.2,0.25,0.15,1000,0.2278448,0.2075912,0.1417638,0.29334,0.1294598,-0.1182234,-0.02807,0.2512068,-0.191328,0.08641728,0.4074376
